
Algorithm:	combinationOne
Structure:	(0,0,0-z1-4)(1,0,1-z3-4)
Date:		26/08/2022 17:11:48

(0,0,0-z1-gbyr)(1,0,1-z3-rygb)
(0,0,0-z1-bgyr)(1,0,1-z3-rybg)
(0,0,0-z1-rybg)(1,0,1-z3-rbyg)
(0,0,0-z1-gbyr)(1,0,1-z3-gybr)
(0,0,0-z1-rbyg)(1,0,1-z3-rybg)
(0,0,0-z1-gybr)(1,0,1-z3-gbyr)
(0,0,0-z1-rybg)(1,0,1-z3-rbgy)
(0,0,0-z1-ygbr)(1,0,1-z3-gbyr)
(0,0,0-z1-gbyr)(1,0,1-z3-bygr)
(0,0,0-z1-rgyb)(1,0,1-z3-rybg)
(0,0,0-z1-rybg)(1,0,1-z3-ybgr)
(0,0,0-z1-rgby)(1,0,1-z3-gbyr)
(0,0,0-z1-rybg)(1,0,1-z3-gbry)
(0,0,0-z1-yrbg)(1,0,1-z3-gbyr)
(0,0,0-z1-rybg)(1,0,1-z3-ybrg)
(0,0,0-z1-grby)(1,0,1-z3-gbyr)
(0,0,0-z1-gbyr)(1,0,1-z3-gyrb)
(0,0,0-z1-bryg)(1,0,1-z3-rybg)
(0,0,0-z1-gbyr)(1,0,1-z3-byrg)
(0,0,0-z1-gryb)(1,0,1-z3-rybg)
(0,0,0-z1-bgyr)(1,0,1-z3-gybr)
(0,0,0-z1-rbyg)(1,0,1-z3-rygb)
(0,0,0-z1-rygb)(1,0,1-z3-ygbr)
(0,0,0-z1-rbgy)(1,0,1-z3-bgyr)
(0,0,0-z1-rygb)(1,0,1-z3-rgyb)
(0,0,0-z1-bgyr)(1,0,1-z3-bygr)
(0,0,0-z1-rgyb)(1,0,1-z3-rygb)
(0,0,0-z1-bygr)(1,0,1-z3-bgyr)
(0,0,0-z1-rygb)(1,0,1-z3-rgby)
(0,0,0-z1-ybgr)(1,0,1-z3-bgyr)
(0,0,0-z1-rygb)(1,0,1-z3-bgry)
(0,0,0-z1-yrgb)(1,0,1-z3-bgyr)
(0,0,0-z1-rygb)(1,0,1-z3-ygrb)
(0,0,0-z1-brgy)(1,0,1-z3-bgyr)
(0,0,0-z1-bgyr)(1,0,1-z3-gyrb)
(0,0,0-z1-bryg)(1,0,1-z3-rygb)
(0,0,0-z1-bgyr)(1,0,1-z3-byrg)
(0,0,0-z1-gryb)(1,0,1-z3-rygb)
(0,0,0-z1-gybr)(1,0,1-z3-rbgy)
(0,0,0-z1-ygbr)(1,0,1-z3-rbyg)
(0,0,0-z1-rbyg)(1,0,1-z3-bygr)
(0,0,0-z1-rgyb)(1,0,1-z3-gybr)
(0,0,0-z1-gybr)(1,0,1-z3-ybgr)
(0,0,0-z1-rgby)(1,0,1-z3-rbyg)
(0,0,0-z1-gybr)(1,0,1-z3-gbry)
(0,0,0-z1-yrbg)(1,0,1-z3-rbyg)
(0,0,0-z1-gybr)(1,0,1-z3-ybrg)
(0,0,0-z1-grby)(1,0,1-z3-rbyg)
(0,0,0-z1-rbyg)(1,0,1-z3-gyrb)
(0,0,0-z1-bryg)(1,0,1-z3-gybr)
(0,0,0-z1-rbyg)(1,0,1-z3-byrg)
(0,0,0-z1-gryb)(1,0,1-z3-gybr)
(0,0,0-z1-rbgy)(1,0,1-z3-rgyb)
(0,0,0-z1-bygr)(1,0,1-z3-ygbr)
(0,0,0-z1-rbgy)(1,0,1-z3-rgby)
(0,0,0-z1-ygbr)(1,0,1-z3-ybgr)
(0,0,0-z1-rgby)(1,0,1-z3-rbgy)
(0,0,0-z1-ybgr)(1,0,1-z3-ygbr)
(0,0,0-z1-ygbr)(1,0,1-z3-gbry)
(0,0,0-z1-yrbg)(1,0,1-z3-rbgy)
(0,0,0-z1-rbgy)(1,0,1-z3-bgry)
(0,0,0-z1-yrgb)(1,0,1-z3-ygbr)
(0,0,0-z1-ygbr)(1,0,1-z3-ybrg)
(0,0,0-z1-grby)(1,0,1-z3-rbgy)
(0,0,0-z1-rbgy)(1,0,1-z3-ygrb)
(0,0,0-z1-brgy)(1,0,1-z3-ygbr)
(0,0,0-z1-bygr)(1,0,1-z3-rgby)
(0,0,0-z1-ybgr)(1,0,1-z3-rgyb)
(0,0,0-z1-bygr)(1,0,1-z3-bgry)
(0,0,0-z1-yrgb)(1,0,1-z3-rgyb)
(0,0,0-z1-bygr)(1,0,1-z3-ygrb)
(0,0,0-z1-brgy)(1,0,1-z3-rgyb)
(0,0,0-z1-rgyb)(1,0,1-z3-gyrb)
(0,0,0-z1-bryg)(1,0,1-z3-bygr)
(0,0,0-z1-rgyb)(1,0,1-z3-byrg)
(0,0,0-z1-gryb)(1,0,1-z3-bygr)
(0,0,0-z1-rgby)(1,0,1-z3-gbry)
(0,0,0-z1-yrbg)(1,0,1-z3-ybgr)
(0,0,0-z1-ybgr)(1,0,1-z3-bgry)
(0,0,0-z1-yrgb)(1,0,1-z3-rgby)
(0,0,0-z1-rgby)(1,0,1-z3-ybrg)
(0,0,0-z1-grby)(1,0,1-z3-ybgr)
(0,0,0-z1-ybgr)(1,0,1-z3-ygrb)
(0,0,0-z1-brgy)(1,0,1-z3-rgby)
(0,0,0-z1-gbry)(1,0,1-z3-yrgb)
(0,0,0-z1-bgry)(1,0,1-z3-yrbg)
